Id;Manufacturer;ProductID;LabWareType;Description;ImageLink/URL;UNSPSC;eClass;Vendor;CatalogueID;WellCount;ColumnCount;RowCount;LabwareLength/mm;LabwareWidth/mm;LabwareHeight/mm;Mass/g;LabwareMaterial;SurfaceTreatment;Color;WellVolume/ul;A1Position/(col,row);WellDiameter/mm;WellColDistance/mm;WellRowDistance/mm;WellDepth/mm;WellShape;WellBottomShape;Liddable/bool;Lid/((Manufacturer, ProdID));Applications;AcceptableLids
mtp_1536_white-tc;Greiner;782073;;1536 Greiner White TC-treated HiBase;;;;;;1536;48;32;189.1;140.1;10.4;;;;;10;;;;;5;;;;;absorbance, cover, dispense, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, provision, seal, spectrophotometry, spin, uncover, unseal;standard, universal, low_evaporation, ultra-clear, foil
mtp_384_flat-uv-ps;SPL Life Sciences;330384;;UVMax™ 384-Well Flat Bottom Polystyrene Tissue Culture Treated Plates;;;;;;384;24;16;190.1;141.1;14.4;;;;;130;;;;;11.5;;;;;absorbance, cover, deseal, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, liquid_handle, luminescence, magnetic_transfer_pcr, pipette, provision, seal, spin, stamp, uncover;universal, breathable, foil, ultra-clear
a1-vial;TradeWinds, Inc;HR1545C;;A1 vial;;;;;;1;1;1;191.1;142.1;42;;;;;3500;;;;;41.7;;;;;cover, evaporate, incubate, liquid_handle, measure_mass, provision, uncover;screw-cap
mtp_384_microamp-endura-optical-TF;ThermoFisher;4483285;;MicroAmp EnduraPlate Optical 384-Well Clear;;;;;;384;24;16;192.1;143.1;9.2;;;;;40;;;;;9.1;;;;;cover, deseal, dispense, dispense-destination, echo_dest, fluorescence, liquid_handle, luminescence, pipette, provision, seal, spin, stamp, transfer, uncover, incubate;universal, standard, foil
mtp_96_deep;Corning;3961;;96-Well Clear V-Bottom Polypropylene Deep Well Plate;;;;;;96;12;8;193.1;144.1;43.8;;;;;2000;;;;;42.03;;;;;deseal, dispense-destination, flash_freeze, image_plate, incubate, magnetic_separate, magnetic_transfer_deep, maxiprep_destination, maxiprep_source, miniprep_source, seal, spin, stamp;standard, universal, breathable
d2-vial;TradeWinds, Inc;HR2895C;;HRD2 Vial;;;;;;1;1;1;194.1;145.1;95.3;;;;;40000;;;;;90.5;;;;;agitate, cover, dispense, elution-dest, evaporate, image, incubate, lcms, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap
res-mw12-hp;Axygen;res-mw12-hp;;Multiple Well Reagent Reservoir with 12-Channel Trough, High Profile;;;;;;12;12;1;195.1;146.1;44.04;;;;;21000;;;;;39.3;;;;;cover, dispense-destination, incubate, liquid_handle, uncover;universal
flask-25;not_applicable;not_applicable;;25mL Flask;;;;;;1;1;1;196.1;147.1;14;;;;;25000;;;;;0;;;;;cover, dispense-source, incubate, provision, seal, spin, transfer, uncover;screw-cap
mtp_384_ubottom-white-tc;Sumitomo Bakelite Co.;MS-9384WZ;;Sumitomo Bakelite Co. PrimeSurface384U White Plate 3-D Cell Culture Plate;;;;;;384;24;16;197.1;148.1;14.4;;;;;100;;;;;12;;;;;absorbance, agitate, cover, deseal, dispense, dispense-destination, echo_dest, echo_source, fluorescence, image, image_plate, incubate, liquid_handle, luminescence, pipette, provision, seal, spectrophotometry, spin, stamp, thermocycle, transfer, uncover;breathable, foil, low_evaporation, ultra-clear, universal, standard
d1-vial;TradeWinds, Inc;HR2767C;;D1 vial;;;;;;1;1;1;198.1;149.1;63;;;;;25900;;;;;62.4;;;;;agitate, cover, dispense, elution-dest, evaporate, image, incubate, lcms, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap
mrv-large;unknown;unknown;;Large MRV;;;;;;1;1;1;199.1;150.1;83;;;;;20000;;;;;81.25;;;;;agitate, cover, dispense, evaporate, image, incubate, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap
